fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Kelvin Gastelum,Ian Heinisch,0,0,51 of 115,56 of 107,38 of 84,27 of 67,20 of 62,10 of 42,10 of 13,6 of 11,8 of 9,11 of 14,28 of 69,26 of 64,8 of 11,0 of 0,2 of 4,1 of 3,6 of 14,1 of 6,0,2,1,1,6:50,1:11,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/26fbf026beb8e9f8
Ricky Simon,Brian Kelleher,0,0,72 of 136,25 of 83,45 of 98,19 of 73,25 of 73,7 of 56,3 of 4,4 of 8,17 of 21,8 of 9,29 of 74,18 of 72,6 of 9,1 of 1,10 of 15,0 of 0,6 of 9,0 of 0,1,0,0,0,8:14,0:12,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/54e2490959f66dc2
Maki Pitolo,Julian Marquez,0,0,70 of 110,61 of 129,32 of 65,41 of 100,16 of 46,37 of 94,12 of 14,3 of 4,4 of 5,1 of 2,22 of 52,18 of 72,7 of 8,15 of 16,3 of 5,8 of 12,5 of 11,0 of 1,1,4,1,1,9:07,1:54,L,Submission,3,4:17,Mark Smith,http://ufcstats.com/fight-details/9201312dd860fa5a
Rodolfo Vieira,Anthony Hernandez,0,0,14 of 32,50 of 73,9 of 26,32 of 50,9 of 26,28 of 45,0 of 0,4 of 5,0 of 0,0 of 0,7 of 21,28 of 46,2 of 2,4 of 4,0 of 3,0 of 0,4 of 10,0 of 0,0,2,0,1,4:00,1:25,L,Submission,2,1:53,Keith Peterson,http://ufcstats.com/fight-details/96b1430379c0694a
Belal Muhammad,Dhiego Lima,0,0,136 of 284,70 of 206,129 of 264,69 of 203,109 of 232,26 of 156,20 of 31,17 of 19,0 of 1,26 of 28,118 of 248,69 of 203,11 of 16,0 of 0,0 of 0,0 of 0,1 of 10,0 of 1,0,0,0,0,2:42,0:00,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/8cf076524cad5a55
Polyana Viana,Mallory Martin,0,0,71 of 89,14 of 19,4 of 16,5 of 7,0 of 12,1 of 3,3 of 3,4 of 4,1 of 1,0 of 0,4 of 16,5 of 7,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,5,0,0,0,0:18,2:25,W,Submission,1,3:18,Mark Smith,http://ufcstats.com/fight-details/17616514e8fdacb9
Andre Ewell,Chris Gutierrez,0,1,62 of 124,72 of 131,59 of 120,69 of 126,15 of 56,23 of 59,28 of 40,14 of 21,16 of 24,32 of 46,59 of 119,61 of 116,0 of 0,8 of 10,0 of 1,0 of 0,1 of 1,1 of 1,1,0,0,0,0:09,1:11,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/f98e954823bd6e02
Gabe Green,Phil Rowe,2,0,128 of 213,48 of 93,70 of 152,42 of 86,36 of 112,25 of 67,15 of 20,8 of 10,19 of 20,9 of 9,51 of 126,40 of 84,4 of 7,1 of 1,15 of 19,1 of 1,2 of 2,2 of 6,1,0,0,2,3:13,5:43,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/357c5b86ec83b826
Alistair Overeem,Alexander Volkov,0,1,10 of 20,54 of 88,10 of 20,54 of 88,3 of 13,47 of 81,2 of 2,3 of 3,5 of 5,4 of 4,10 of 20,40 of 65,0 of 0,11 of 18,0 of 0,3 of 5,0 of 1,0 of 0,0,0,0,0,0:15,0:11,L,KO/TKO,2,2:06,Jason Herzog,http://ufcstats.com/fight-details/8b9bdacca749ec90
Cory Sandhagen,Frankie Edgar,1,0,2 of 5,2 of 3,2 of 5,2 of 3,1 of 3,1 of 2,0 of 0,0 of 0,1 of 2,1 of 1,2 of 5,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,0:28,Keith Peterson,http://ufcstats.com/fight-details/9ef858837dfc65eb
Michael Johnson,Clay Guida,0,0,70 of 138,65 of 107,58 of 126,49 of 89,52 of 113,31 of 71,5 of 12,12 of 12,1 of 1,6 of 6,47 of 115,32 of 72,6 of 6,14 of 14,5 of 5,3 of 3,0 of 0,3 of 7,0,1,0,0,3:03,6:53,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/f4fbb11055301e75
Alexandre Pantoja,Manel Kape,0,0,77 of 152,51 of 94,74 of 149,49 of 91,27 of 83,36 of 76,26 of 38,8 of 8,21 of 28,5 of 7,72 of 146,49 of 91,1 of 1,0 of 0,1 of 2,0 of 0,0 of 1,2 of 7,0,0,0,0,0:24,0:25,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/2c81668d1459991f
Diego Ferreira,Beneil Dariush,0,0,74 of 145,74 of 132,54 of 121,62 of 116,43 of 104,46 of 98,10 of 15,10 of 12,1 of 2,6 of 6,45 of 109,51 of 93,5 of 5,3 of 5,4 of 7,8 of 18,0 of 1,5 of 15,0,0,1,0,0:58,7:23,L,Decision - Split,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/bbade63ca780668f
Mike Rodriguez,Danilo Marques,0,0,34 of 43,55 of 58,16 of 24,29 of 29,3 of 7,27 of 27,5 of 6,2 of 2,8 of 11,0 of 0,11 of 19,2 of 2,5 of 5,0 of 0,0 of 0,27 of 27,0 of 0,4 of 7,0,2,0,0,0:04,7:39,L,Submission,2,4:52,Jason Herzog,http://ufcstats.com/fight-details/af8ea6db042674ef
Devonte Smith,Justin Jaynes,0,0,46 of 78,19 of 35,34 of 65,11 of 27,25 of 54,6 of 21,5 of 7,3 of 4,4 of 4,2 of 2,21 of 45,10 of 26,5 of 8,0 of 0,8 of 12,1 of 1,1 of 1,0 of 2,1,0,0,1,3:08,0:12,W,TKO - Doctor's Stoppage,2,3:38,Keith Peterson,http://ufcstats.com/fight-details/464cc19d42446da9
Karol Rosa,Joselyne Edwards,0,0,135 of 175,70 of 97,57 of 84,38 of 59,33 of 55,22 of 36,9 of 10,4 of 8,15 of 19,12 of 15,27 of 46,31 of 51,11 of 14,3 of 3,19 of 24,4 of 5,4 of 6,1 of 3,0,0,0,1,11:13,0:02,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/8c34e1e0d842618d
Molly McCann,Lara Procopio,0,0,71 of 83,85 of 113,37 of 47,36 of 58,17 of 25,20 of 39,13 of 14,11 of 12,7 of 8,5 of 7,21 of 28,19 of 39,11 of 12,9 of 11,5 of 7,8 of 8,0 of 0,7 of 9,1,1,0,0,0:50,11:43,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/d65da3a3bc675449
SeungWoo Choi,Youssef Zalal,0,0,73 of 144,46 of 70,41 of 109,23 of 47,25 of 84,12 of 34,10 of 13,9 of 10,6 of 12,2 of 3,26 of 93,21 of 44,12 of 13,1 of 2,3 of 3,1 of 1,2 of 3,3 of 9,0,1,0,1,3:39,4:29,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/86d6e09932c5b551
Timur Valiev,Martin Day,0,0,115 of 149,24 of 46,55 of 76,8 of 28,37 of 53,7 of 23,4 of 7,0 of 2,14 of 16,1 of 3,20 of 31,6 of 23,2 of 2,0 of 1,33 of 43,2 of 4,4 of 6,0 of 0,0,0,0,1,11:19,0:15,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/eb4e9ec015533ab4
